city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Włocławek,52.6592,19.0681,Poland,PL,Kujawsko-Pomorskie,minor,104705,104705
Wałbrzych,50.7667,16.2833,Poland,PL,Dolnośląskie,minor,104401,104401
Chorzów,50.3000,18.9500,Poland,PL,Śląskie,minor,104193,104193
Kalisz,51.7575,18.0800,Poland,PL,Wielkopolskie,minor,95905,95905
Legnica,51.2083,16.1603,Poland,PL,Dolnośląskie,minor,94878,94878
Nowy Sącz,49.6239,20.6972,Poland,PL,Małopolskie,minor,81281,81281
Mysłowice,50.2333,19.1333,Poland,PL,Śląskie,minor,72553,72553
Ostrów Wielkopolski,51.6494,17.8164,Poland,PL,Wielkopolskie,minor,70725,70725
Lubin,51.4000,16.2000,Poland,PL,Dolnośląskie,minor,70016,70016
Inowrocław,52.7931,18.2611,Poland,PL,Kujawsko-Pomorskie,minor,69576,69576
Stargard Szczeciński,53.3333,15.0333,Poland,PL,Zachodniopomorskie,minor,67348,67348
Gniezno,52.5358,17.5958,Poland,PL,Wielkopolskie,minor,65452,65452
Pruszków,52.1667,20.8000,Poland,PL,Mazowieckie,minor,65283,65283
Ostrowiec Świętokrzyski,50.9333,21.4000,Poland,PL,Świętokrzyskie,minor,64796,64796
Siemianowice Śląskie,50.2758,18.9858,Poland,PL,Śląskie,minor,64676,64676
Głogów,51.6589,16.0803,Poland,PL,Dolnośląskie,minor,64261,64261
Pabianice,51.6500,19.3833,Poland,PL,Łódzkie,minor,62954,62954
Leszno,51.8458,16.5806,Poland,PL,Wielkopolskie,minor,61791,61791
Ełk,53.8214,22.3622,Poland,PL,Warmińsko-Mazurskie,minor,60390,60390
Zamość,50.7167,23.2528,Poland,PL,Lubelskie,minor,60148,60148
Chełm,51.1322,23.4778,Poland,PL,Lubelskie,minor,59546,59546
Tomaszów Mazowiecki,51.5167,20.0167,Poland,PL,Łódzkie,minor,59388,59388
Mielec,50.2833,21.4333,Poland,PL,Podkarpackie,minor,58213,58213
Tczew,54.0875,18.7972,Poland,PL,Pomorskie,minor,57990,57990
Będzin,50.3333,19.1167,Poland,PL,Śląskie,minor,55695,55695
Zgierz,51.8500,19.4167,Poland,PL,Łódzkie,minor,55079,55079
